FEATURE_ID,GEO_CODE,GEO_CODE_CLEAN,ADMIN_LEVEL,LEVEL_STANDARD,LEVEL_ORDER,location_name,PARENT_GEO_CODE,PARENT_LOCATION_NAME,CHILD_COUNT,HAS_CHILDREN,ADMIN_PATH,CENSUS_DATA_AVAILABLE,CENSUS_TABLE_COUNT,CENSUS_COVERAGE_PCT,SDG_DATA_AVAILABLE,SDG_INDICATOR_COUNT,NAME_MATCH_STATUS,CENSUS_LOCATION_NAME,DIVISION_CODE,DIVISION_NAME,DISTRICT_CODE,DISTRICT_NAME,CITY_CODE,CITY_NAME,UPAZILA_CODE,UPAZILA_NAME,MUNICIPALITY_CODE,MUNICIPALITY_NAME,UNION_CODE,UNION_NAME,MAUZA_CODE,CENTROID_LAT,CENTROID_LON,MAUZA_NAME,VILLAGE_CODE,VILLAGE_NAME,RMO_CODE,location_id,source_row_number,level,district,city_corporation,upazila_thana,paurashava,union_ward,mauza,village_mahalla,household_except_floating_household_total_c_01,general_c_01,institutional_c_01,others_c_01,population_including_floating_population_total_c_01,male_c_01,female_c_01,hijra_c_01,sex_ratio_c_01,total_c_02,age_group_in_years_0_4_c_02,5_9_c_02,10_14_c_02,15_19_c_02,20_24_c_02,25_29_c_02,30_34_c_02,35_39_c_02,40_44_c_02,45_49_c_02,50_54_c_02,55_59_c_02,60_64_c_02,65_69_c_02,70_74_c_02,75_79_c_02,80_c_02,total_c_03,muslim_c_03,hindu_c_03,christian_c_03,buddhist_c_03,others_c_03,male_population_number_c_04,total_c_04,never_married_c_04,currently_married_c_04,widowed_widower_c_04,divorced_c_04,separated_c_04,female_population_number_c_04,total_1_c_04,never_married_1_c_04,currently_married_1_c_04,widowed_widower_1_c_04,divorced_1_c_04,separated_1_c_04,5_years_and_above_total_c_05,male_c_05,female_c_05,7_years_and_above_total_c_05,male_1_c_05,female_1_c_05,15_years_and_above_total_c_05,male_2_c_05,female_2_c_05,population_number_c_06,field_of_education_total_c_06,general_c_06,technical_c_06,religious_c_06,others_c_06,highest_level_of_education_attained_total_c_06,attended_school_but_not_completed_play_nursery_kg_pre_primary_class_i_c_06,play_nursery_kg_pre_primary_student_c_06,student_class_i_c_06,class_i_v_c_06,class_vi_ix_c_06,ssc_dakhil_o_level_equivalent_c_06,hsc_alim_a_level_equivalent_c_06,diploma_nursing_midwifery_c_06,graduate_and_above_c_06,non_formal_informal_education_and_others_c_06,total_male_c_07,female_c_07,5_9_years_male_c_07,female_1_c_07,10_14_years_male_c_07,female_2_c_07,15_19_years_male_c_07,female_3_c_07,20_24_years_male_c_07,female_4_c_07,25_29_years_male_c_07,female_5_c_07,population_total_c_08,male_c_08,female_c_08,employed_total_c_08,male_1_c_08,female_1_c_08,household_work_total_c_08,male_2_c_08,female_2_c_08,looking_for_work_total_c_08,male_3_c_08,female_3_c_08,do_not_work_total_c_08,male_4_c_08,female_4_c_08,total_c_09,male_c_09,female_c_09,agriculture_total_c_09,male_1_c_09,female_1_c_09,industry_total_c_09,male_2_c_09,female_2_c_09,service_total_c_09,male_3_c_09,female_3_c_09,total_c_10,15_19_years_c_10,20_24_years_c_10,male_total_c_10,15_19_years_1_c_10,20_24_years_1_c_10,female_total_c_10,15_19_years_2_c_10,20_24_years_2_c_10,population_having_mobile_phone_for_own_use_5_years_and_above_total_c_11_,male_c_11_,female_c_11_,15_years_and_above_total_c_11_,male_1_c_11_,female_1_c_11_,internet_user_5_years_and_above_total_c_11_,male_2_c_11_,female_2_c_11_,15_years_and_above_total_1_c_11_,male_3_c_11_,female_3_c_11_,having_account_in_financial_institution_bank_insurance_micro_credit_post_office_etc_total_c_12,male_c_12,female_c_12,having_mobile_banking_account_total_c_12,male_1_c_12,female_1_c_12,ethnic_population_total_c_13,male_c_13,female_c_13,ethnic_population_in_major_groups_garo_c_13,chakma_c_13,marma_c_13,others_c_13,general_household_c_14,type_of_structure_total_c_14,pucca_c_14,semi_pucca_c_14,kancha_c_14,jhupri_c_14,ownership_status_total_c_14,own_dwelling_unit_c_14,rented_but_having_own_dwelling_unit_elsewhere_c_14,rented_and_having_no_own_dwelling_unit_elsewhere_c_14,rent_free_but_having_own_dwelling_unit_elsewhere_c_14,rent_free_and_having_no_own_dwelling_unit_elsewhere_c_14,general_household_c_15,source_of_drinking_water_total_c_15,tap_pipe_supply_c_15,tube_well_deep_shallow_c_15,bottled_jar_water_c_15,well_c_15,pond_river_canal_lake_c_15,spring_c_15,rain_water_c_15,others_c_15,general_household_c_16,toilet_facilities_total_c_16,safe_disposal_with_flushing_pouring_water_c_16,unsafe_disposal_with_flushing_pouring_water_c_16,pit_latrine_with_slab_ventilated_improved_latrine_composting_latrine_c_16,pit_latrine_without_slab_open_pit_c_16,raw_open_hanging_latrine_permanent_temporary_c_16,open_defecation_no_latrine_available_c_16,general_household_c_17,source_of_cooking_fuel_total_c_17,straw_leaf_bran_husk_c_17,wood_chalk_chopped_wood_c_17,wood_coal_charcoal_dried_dung_c_17,kerosene_paraffin_c_17,petrol_diesel_c_17,electricity_c_17,supply_gas_c_17,lp_gas_c_17,biogas_c_17,others_c_17,electricity_coverage_c_17,general_household_c_18,household_comprising_1_person_c_18,2_person_c_18,3_person_c_18,4_person_c_18,5_person_c_18,6_person_c_18,7_person_c_18,8_person_c_18,9_person_c_18,10_person_c_18,10_person_1_c_18,average_household_size_c_18,code_15,code_18,LOCATION_NAME_CLEAN,LOCATION_KEY,sdg_4_2_2_learning_total,sdg_4_2_2_learning_male,sdg_4_2_2_learning_female,sdg_5_b_1_mobile_total,sdg_5_b_1_mobile_male,sdg_5_b_1_mobile_female,sdg_6_2_1a_basic_sanitation,sdg_6_2_1b_handwashing,sdg_7_1_1_electricity,sdg_7_1_2_clean_fuel,sdg_8_6_1_neet_total,sdg_8_6_1_neet_male,sdg_8_6_1_neet_female,sdg_8_10_2_financial_inclusion_total,sdg_8_10_2_financial_inclusion_male,sdg_8_10_2_financial_inclusion_female,sdg_11_1_1_urban_slum_total,sdg_11_1_1_urban_slum_male,sdg_11_1_1_urban_slum_female,sdg_17_8_1_internet_total,sdg_17_8_1_internet_male,sdg_17_8_1_internet_female,IS_LEAF
DH22_0001,3026,3026,district,district,1,Dhaka,,,60,1,3026,1,18,100.0,1,22,MATCH,Dhaka,30,Dhaka,26,Dhaka,,,,,,,,,,23.78845095634701,90.25058531754625,,,,,1,7.0,district,26.0,,,,,,,4029271.0,3737085.0,4753.0,287433.0,14734701.0,7900035.0,6833989.0,677.0,115.6,14734701.0,1111280.0,1119899.0,1221785.0,1448001.0,1726870.0,1744130.0,1384799.0,1302930.0,981546.0,728365.0,649141.0,415270.0,367746.0,230960.0,162303.0,64886.0,74790.0,14734701.0,13980953.0,672269.0,63406.0,16164.0,1909.0,6744075.0,100.0,37.12,61.9,0.66,0.16,0.16,5758770.0,100.0,23.92,67.9,7.02,0.61,0.55,84.2,85.71,82.44,84.88,86.45,83.06,83.49,85.44,81.2,13622744.0,11895165.0,10957480.0,137348.0,586579.0,213758.0,11895165.0,131558.0,284905.0,174257.0,2844088.0,2868715.0,1532886.0,1637154.0,86207.0,1961379.0,374016.0,1874793.0,1558110.0,449279.0,412324.0,531616.0,471178.0,428173.0,362924.0,345298.0,245842.0,120427.0,65842.0,13622744.0,7331728.0,6291016.0,6034237.0,4780285.0,1253952.0,2554393.0,52288.0,2502105.0,164153.0,123278.0,40875.0,4869961.0,2375877.0,2494084.0,6034237.0,4780285.0,1253952.0,280609.0,184901.0,95708.0,1967797.0,1458863.0,508934.0,3785831.0,3136521.0,649310.0,25.44,21.13,29.06,8.89,10.21,7.75,42.49,32.65,50.57,71.16,76.85,64.54,84.69,91.12,77.15,52.98,59.44,45.45,60.97,68.53,52.1,34.63,40.4,27.86,47.85,59.59,34.08,27137.0,13888.0,13249.0,9367.0,5422.0,2312.0,10036.0,3737085.0,100.0,67.83,19.12,12.85,0.2,100.0,27.51,57.07,13.39,1.34,0.69,3737085.0,100.0,61.5,37.75,0.72,0.01,0.01,0.0,0.0,0.01,3737085.0,100.0,86.67,7.77,4.89,0.47,0.17,0.04,3737085.0,100.0,1.89,10.01,1.14,0.22,0.04,0.52,69.17,16.65,0.14,0.21,99.91,3737085.0,244661.0,715735.0,914430.0,969773.0,504971.0,211944.0,89097.0,41419.0,20706.0,11208.0,13141.0,3.62,,,Dhaka,3026,51.83,50.54,53.22,71.16,76.85,64.54,61.26,89.31,99.76,86.18,25.44,8.89,42.49,56.41,66.87,44.15,5.76,5.7,5.84,52.98,59.44,45.45,0
DH22_4930,30260014,30260014,upazila,upazila_thana,3,Dhamrai,3026,Dhaka,26,1,3026/30260014,1,18,100.0,1,22,CODE_MATCH_NAME_VARIANT,Dhamrai Upazila,30,Dhaka,26,Dhaka,00, ,14,Dhamrai,,,,,,23.93897827069766,90.1408034507788,,,,,2086,2092.0,thana,26.0,,14.0,,,,,134023.0,130176.0,153.0,3694.0,517135.0,259261.0,257856.0,18.0,100.54,517135.0,41145.0,42401.0,47454.0,49642.0,45156.0,45326.0,41235.0,43930.0,34603.0,28546.0,26112.0,18379.0,18907.0,12860.0,10541.0,4352.0,6546.0,517135.0,467394.0,49293.0,135.0,304.0,9.0,216390.0,100.0,32.56,65.92,1.06,0.24,0.23,217181.0,100.0,18.45,69.99,10.22,0.74,0.59,73.31,76.86,69.75,73.72,77.45,69.99,69.6,73.98,65.3,475972.0,366106.0,331253.0,3809.0,22452.0,8592.0,366106.0,3980.0,10045.0,7397.0,109299.0,117463.0,48711.0,33360.0,1946.0,19737.0,14168.0,66227.0,55658.0,18029.0,17043.0,22406.0,20459.0,17650.0,13147.0,6443.0,3999.0,1699.0,1010.0,475972.0,238314.0,237658.0,182271.0,143799.0,38472.0,133900.0,8637.0,125263.0,4956.0,4036.0,920.0,154845.0,81842.0,73003.0,182271.0,143799.0,38472.0,51112.0,40778.0,10334.0,66020.0,45242.0,20778.0,65139.0,57779.0,7360.0,30.62,23.46,38.49,11.15,10.84,11.52,48.87,36.33,61.52,59.35,70.1,48.56,71.95,85.62,58.52,33.86,42.61,25.09,38.86,49.69,28.23,25.57,31.17,20.07,35.69,47.92,23.68,232.0,110.0,122.0,10.0,9.0,12.0,201.0,130176.0,100.0,21.87,20.2,57.87,0.06,100.0,79.34,18.42,1.4,0.4,0.44,130176.0,100.0,0.0,99.95,0.01,0.01,0.0,0.0,0.0,0.02,130176.0,100.0,60.74,11.27,23.82,2.76,1.14,0.28,130176.0,100.0,6.12,51.96,11.78,0.01,0.01,0.06,16.37,13.13,0.43,0.12,99.78,130176.0,7312.0,21475.0,30136.0,33873.0,19652.0,9784.0,3914.0,1849.0,1016.0,550.0,615.0,3.82,,,Dhamrai,30260014,57.6,57.45,57.76,59.35,70.1,48.56,62.82,77.66,99.81,27.57,30.62,11.15,48.87,45.38,57.16,33.8,0.04,0.05,0.04,33.86,42.61,25.09,0
DH22_0004,3026001400109,3026001400109,union,union_ward,5,Amta,30260014,Dhamrai,7,1,3026/30260014/3026001400109,1,18,100.0,1,22,CODE_MATCH_NAME_VARIANT,Amta Union,30,Dhaka,26,Dhaka,00, ,14,Dhamrai,00, ,109,Amta,,23.988758648601763,90.05653663380907,,,,,2156,2162.0,ward,26.0,,14.0,,109.0,,,4523.0,4469.0,5.0,49.0,18065.0,8791.0,9274.0,0.0,94.79,18065.0,1415.0,1620.0,1859.0,1788.0,1377.0,1213.0,1359.0,1470.0,1304.0,980.0,1012.0,707.0,734.0,448.0,409.0,135.0,235.0,18065.0,16309.0,1749.0,6.0,1.0,0.0,7254.0,100.0,33.03,65.43,1.08,0.3,0.17,7776.0,100.0,18.84,68.99,11.12,0.64,0.4,67.27,70.45,64.28,67.21,70.47,64.16,60.97,64.81,57.44,16650.0,11616.0,10216.0,253.0,982.0,165.0,11616.0,86.0,307.0,292.0,3695.0,3789.0,1258.0,904.0,39.0,465.0,781.0,2485.0,2137.0,687.0,700.0,841.0,819.0,700.0,460.0,221.0,133.0,36.0,25.0,16650.0,8061.0,8589.0,5669.0,4653.0,1016.0,4805.0,109.0,4696.0,147.0,122.0,25.0,6029.0,3177.0,2852.0,5669.0,4653.0,1016.0,1832.0,1283.0,549.0,1058.0,816.0,242.0,2779.0,2554.0,225.0,33.4,24.94,44.37,11.35,10.5,12.64,54.83,41.07,70.13,53.56,66.43,41.48,66.21,82.65,51.1,33.73,42.1,25.87,35.88,46.48,26.15,26.19,28.81,23.79,29.15,40.88,18.37,70.0,36.0,34.0,0.0,0.0,0.0,70.0,4469.0,100.0,11.08,10.85,77.69,0.38,100.0,92.59,4.61,0.78,0.78,1.23,4469.0,100.0,0.0,99.91,0.0,0.09,0.0,0.0,0.0,0.0,4469.0,100.0,37.39,11.55,45.33,3.71,1.3,0.72,4469.0,100.0,12.82,46.54,28.55,0.04,0.0,0.02,5.15,6.62,0.09,0.16,99.51,4469.0,215.0,712.0,1021.0,1169.0,712.0,348.0,160.0,57.0,25.0,25.0,25.0,3.89,,,Amta,3026001400109,67.15,71.21,63.45,53.56,66.43,41.48,63.85,64.21,99.62,11.11,33.4,11.35,54.83,42.83,52.38,34.06,0.0,0.0,0.0,33.73,42.1,25.87,0
DH22_0294,3026001400109028,3026001400109028,mauza,mauza,6,Ag Jethail,3026001400109,Amta,1,1,3026/30260014/3026001400109/3026001400109028,1,17,94.44,0,0,CODE_MATCH_NAME_VARIANT,Ag Jethail*,30,Dhaka,26,Dhaka,00, ,14,Dhamrai,00, ,109,Amta,028,24.002159918196448,90.06253894631452,Ag Jethail,,,,2159,2165.0,mauza,26.0,,14.0,,109.0,28.0,,325.0,325.0,0.0,0.0,1268.0,610.0,658.0,0.0,92.71,1268.0,86.0,99.0,129.0,139.0,92.0,53.0,99.0,100.0,101.0,72.0,80.0,39.0,73.0,29.0,35.0,12.0,30.0,1268.0,1253.0,15.0,0.0,0.0,0.0,513.0,100.0,34.89,64.33,0.78,0.0,0.0,570.0,100.0,17.54,68.42,13.33,0.53,0.18,55.84,60.88,51.14,55.01,60.29,50.17,46.54,50.8,42.91,1182.0,740.0,720.0,4.0,14.0,2.0,740.0,5.0,25.0,29.0,204.0,276.0,104.0,68.0,2.0,22.0,5.0,209.0,144.0,50.0,42.0,70.0,53.0,71.0,38.0,16.0,11.0,2.0,0.0,1182.0,570.0,612.0,331.0,274.0,57.0,389.0,41.0,348.0,16.0,12.0,4.0,446.0,243.0,203.0,331.0,274.0,57.0,145.0,108.0,37.0,40.0,32.0,8.0,146.0,134.0,12.0,32.03,19.42,51.09,8.04,6.33,12.12,54.62,36.67,72.88,53.55,64.91,42.97,64.57,81.55,50.1,31.64,39.47,24.35,32.91,43.05,24.27,17.82,24.6,12.04,29.04,41.91,18.06,,,,,,,,325.0,100.0,6.46,11.08,82.46,0.0,100.0,97.54,0.0,0.0,0.92,1.54,325.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,100.0,15.69,0.0,81.54,0.62,2.15,0.0,325.0,100.0,4.0,85.23,5.23,0.31,0.0,0.0,0.0,4.31,0.92,0.0,99.69,325.0,14.0,55.0,61.0,98.0,54.0,24.0,8.0,6.0,0.0,4.0,1.0,3.9,,,Ag Jethail,3026001400109028,,,,,,,,,,,,,,,,,,,,,,,0
DH22_1520,30260014001090280481,30260014001090280481,village,village,7,Ag Jethail,3026001400109028,Ag Jethail,0,0,3026/30260014/3026001400109/3026001400109028/30260014001090280481,1,1,5.56,0,0,MATCH,Ag Jethail,30,Dhaka,26,Dhaka,00, ,14,Dhamrai,00, ,109,Amta,028,24.002159918196448,90.06253894631452,Ag Jethail,048,Ag Jethail,1,30260014001090280481,,,,,,,,,,325.0,325.0,0.0,0.0,1268.0,610.0,658.0,0.0,92.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ag Jethail,30260014001090280481,,,,,,,,,,,,,,,,,,,,,,,1
DH22_0295,3026001400109032,3026001400109032,mauza,mauza,6,Amta,3026001400109,Amta,2,1,3026/30260014/3026001400109/3026001400109032,1,17,94.44,0,0,CODE_MATCH_NAME_VARIANT,Amta*,30,Dhaka,26,Dhaka,00, ,14,Dhamrai,00, ,109,Amta,032,23.998018615369418,90.05460089547445,Amta,,,,2161,2167.0,mauza,26.0,,14.0,,109.0,32.0,,648.0,641.0,2.0,5.0,2368.0,1116.0,1252.0,0.0,89.14,2368.0,160.0,210.0,236.0,249.0,146.0,134.0,156.0,193.0,150.0,158.0,155.0,121.0,92.0,82.0,50.0,28.0,48.0,2368.0,1933.0,435.0,0.0,0.0,0.0,919.0,100.0,34.17,63.76,1.41,0.54,0.11,1079.0,100.0,17.05,67.75,13.35,1.11,0.74,66.89,69.19,64.88,66.57,68.69,64.74,60.78,62.71,59.24,2208.0,1493.0,1414.0,5.0,73.0,1.0,1493.0,11.0,55.0,44.0,470.0,567.0,175.0,93.0,3.0,44.0,31.0,347.0,285.0,101.0,88.0,128.0,98.0,96.0,81.0,18.0,13.0,4.0,5.0,2208.0,1032.0,1176.0,666.0,560.0,106.0,723.0,2.0,721.0,49.0,37.0,12.0,770.0,433.0,337.0,666.0,560.0,106.0,218.0,171.0,47.0,65.0,30.0,35.0,383.0,359.0,24.0,32.66,22.09,50.68,13.9,12.7,16.39,49.52,31.71,75.29,52.76,60.56,45.92,65.1,78.67,54.24,29.44,35.17,24.4,30.36,38.06,24.21,25.99,23.12,28.29,27.19,33.84,21.86,,,,,,,,641.0,100.0,8.74,8.74,82.53,0.0,100.0,94.38,0.16,0.16,1.4,3.9,641.0,100.0,0.0,99.69,0.0,0.31,0.0,0.0,0.0,0.0,641.0,100.0,46.96,4.52,40.87,3.59,1.56,2.5,641.0,100.0,25.9,46.96,24.02,0.0,0.0,0.0,0.0,2.96,0.16,0.0,99.06,641.0,34.0,130.0,149.0,163.0,103.0,39.0,12.0,7.0,0.0,1.0,3.0,3.63,,,Amta,3026001400109032,,,,,,,,,,,,,,,,,,,,,,,0
DH22_1521,30260014001090320561,30260014001090320561,village,village,7,Amta,3026001400109032,Amta,0,0,3026/30260014/3026001400109/3026001400109032/30260014001090320561,1,17,94.44,0,0,MATCH,Amta,30,Dhaka,26,Dhaka,00, ,14,Dhamrai,00, ,109,Amta,032,23.99617113649017,90.05786853478017,Amta,056,Amta,1,30260014001090320561,,,,,,,,,,318.0,315.0,0.0,3.0,1155.0,555.0,600.0,0.0,92.5,1155.0,90.0,79.0,125.0,117.0,73.0,61.0,87.0,81.0,70.0,74.0,74.0,73.0,46.0,41.0,23.0,17.0,24.0,1155.0,720.0,435.0,0.0,0.0,0.0,464.0,100.0,36.21,61.85,1.51,0.43,0.0,522.0,100.0,19.16,64.94,13.98,0.96,0.96,68.73,71.6,66.13,68.5,71.63,65.69,63.07,66.58,60.04,1065.0,743.0,729.0,0.0,14.0,0.0,743.0,4.0,21.0,12.0,272.0,275.0,88.0,51.0,0.0,16.0,4.0,167.0,137.0,40.0,36.0,63.0,57.0,52.0,36.0,9.0,6.0,3.0,2.0,1065.0,507.0,558.0,358.0,295.0,63.0,329.0,2.0,327.0,2.0,1.0,1.0,376.0,209.0,167.0,358.0,295.0,63.0,97.0,74.0,23.0,41.0,17.0,24.0,220.0,204.0,16.0,26.84,13.68,47.95,9.0,5.88,15.63,46.67,24.49,73.17,53.71,61.14,46.95,65.04,76.88,54.86,25.16,30.37,20.43,27.53,35.43,20.73,20.67,23.12,18.57,27.76,34.17,22.25,,,,,,,,315.0,100.0,8.89,11.75,79.37,0.0,100.0,89.21,0.0,0.32,2.86,7.62,315.0,100.0,0.0,99.37,0.0,0.63,0.0,0.0,0.0,0.0,315.0,100.0,30.48,9.21,52.38,2.54,2.22,3.17,315.0,100.0,42.54,43.17,10.79,0.0,0.0,0.0,0.0,3.49,0.0,0.0,99.05,315.0,21.0,60.0,70.0,85.0,49.0,17.0,6.0,6.0,0.0,0.0,1.0,3.62,,,Amta,30260014001090320561,,,,,,,,,,,,,,,,,,,,,,,1
DH22_1522,30260014001090321881,30260014001090321881,village,village,7,Joar Amta,3026001400109032,Amta,0,0,3026/30260014/3026001400109/3026001400109032/30260014001090321881,1,17,94.44,0,0,MATCH,Joar Amta,30,Dhaka,26,Dhaka,00, ,14,Dhamrai,00, ,109,Amta,032,24.0006780511224,90.04989714654663,Amta,188,Joar Amta,1,30260014001090321881,,,,,,,,,,330.0,326.0,2.0,2.0,1213.0,561.0,652.0,0.0,86.04,1213.0,70.0,131.0,111.0,132.0,73.0,73.0,69.0,112.0,80.0,84.0,81.0,48.0,46.0,41.0,27.0,11.0,24.0,1213.0,1213.0,0.0,0.0,0.0,0.0,455.0,100.0,32.09,65.71,1.32,0.66,0.22,557.0,100.0,15.08,70.38,12.75,1.26,0.54,65.18,66.86,63.75,64.74,65.79,63.85,58.6,58.7,58.53,1143.0,750.0,685.0,5.0,59.0,1.0,750.0,7.0,34.0,32.0,198.0,292.0,87.0,42.0,3.0,28.0,27.0,180.0,148.0,61.0,52.0,65.0,41.0,44.0,45.0,9.0,7.0,1.0,3.0,1143.0,525.0,618.0,308.0,265.0,43.0,394.0,0.0,394.0,47.0,36.0,11.0,394.0,224.0,170.0,308.0,265.0,43.0,121.0,97.0,24.0,24.0,13.0,11.0,163.0,155.0,8.0,38.05,29.55,53.42,19.54,20.69,17.24,51.69,36.49,77.27,51.88,60.0,44.98,65.15,80.52,53.68,33.42,39.81,27.99,33.07,40.78,27.33,31.08,23.12,37.02,26.64,33.51,21.51,,,,,,,,326.0,100.0,8.59,5.83,85.58,0.0,100.0,99.39,0.31,0.0,0.0,0.31,326.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,100.0,62.88,0.0,29.75,4.6,0.92,1.84,326.0,100.0,9.82,50.61,36.81,0.0,0.0,0.0,0.0,2.45,0.31,0.0,99.08,326.0,13.0,70.0,79.0,78.0,54.0,22.0,6.0,1.0,0.0,1.0,2.0,3.64,,,Joar Amta,30260014001090321881,,,,,,,,,,,,,,,,,,,,,,,1
DH22_0296,3026001400109087,3026001400109087,mauza,mauza,6,Bara Narayanpur,3026001400109,Amta,2,1,3026/30260014/3026001400109/3026001400109087,1,17,94.44,0,0,CODE_MATCH_NAME_VARIANT,Bara Narayanpur*,30,Dhaka,26,Dhaka,00, ,14,Dhamrai,00, ,109,Amta,087,23.978055538445595,90.05940531408163,Bara Narayanpur,,,,2164,2170.0,mauza,26.0,,14.0,,109.0,87.0,,474.0,470.0,0.0,4.0,1909.0,924.0,985.0,0.0,93.81,1909.0,151.0,165.0,168.0,185.0,133.0,124.0,155.0,187.0,126.0,97.0,111.0,70.0,90.0,62.0,46.0,13.0,26.0,1909.0,1750.0,159.0,0.0,0.0,0.0,761.0,100.0,31.01,67.41,1.31,0.26,0.0,832.0,100.0,13.82,71.75,13.58,0.84,0.0,67.12,71.14,63.43,67.31,71.57,63.41,61.89,66.57,57.75,1758.0,1358.0,1102.0,75.0,28.0,153.0,1358.0,12.0,32.0,26.0,424.0,464.0,105.0,85.0,7.0,34.0,169.0,258.0,203.0,76.0,79.0,81.0,70.0,81.0,42.0,16.0,11.0,4.0,1.0,1758.0,842.0,916.0,591.0,530.0,61.0,646.0,7.0,639.0,22.0,20.0,2.0,499.0,285.0,214.0,591.0,530.0,61.0,265.0,228.0,37.0,85.0,69.0,16.0,241.0,233.0,8.0,33.96,25.41,45.86,7.74,5.1,12.28,58.9,48.28,71.05,57.11,71.02,44.32,68.56,86.72,52.45,26.56,37.41,16.59,29.96,43.13,18.28,28.07,33.73,23.05,36.0,50.6,23.05,,,,,,,,470.0,100.0,5.53,7.87,86.6,0.0,100.0,97.66,0.43,0.0,0.64,1.28,470.0,100.0,0.0,99.79,0.0,0.21,0.0,0.0,0.0,0.0,470.0,100.0,52.98,35.96,5.74,4.47,0.64,0.21,470.0,100.0,0.85,68.72,27.66,0.0,0.0,0.21,0.0,2.34,0.0,0.21,99.79,470.0,17.0,64.0,109.0,126.0,76.0,43.0,23.0,2.0,3.0,3.0,4.0,4.04,,,Bara Narayanpur,3026001400109087,,,,,,,,,,,,,,,,,,,,,,,0
DH22_1523,30260014001090870281,30260014001090870281,village,village,7,Bara Narayanpur,3026001400109087,Bara Narayanpur,0,0,3026/30260014/3026001400109/3026001400109087/30260014001090870281,1,17,94.44,0,0,MATCH,Bara Narayanpur,30,Dhaka,26,Dhaka,00, ,14,Dhamrai,00, ,109,Amta,087,23.97633982660168,90.05989395295451,Bara Narayanpur,028,Bara Narayanpur,1,30260014001090870281,,,,,,,,,,274.0,270.0,0.0,4.0,1136.0,550.0,586.0,0.0,93.86,1136.0,99.0,104.0,100.0,94.0,84.0,72.0,97.0,105.0,70.0,48.0,71.0,46.0,59.0,36.0,26.0,6.0,19.0,1136.0,977.0,159.0,0.0,0.0,0.0,448.0,100.0,29.02,68.97,1.56,0.45,0.0,485.0,100.0,14.02,72.58,12.37,1.03,0.0,69.53,71.92,67.34,70.08,72.35,68.0,65.31,67.93,62.93,1037.0,751.0,671.0,58.0,21.0,1.0,751.0,10.0,22.0,13.0,275.0,267.0,71.0,44.0,7.0,22.0,20.0,144.0,123.0,44.0,53.0,46.0,43.0,38.0,20.0,12.0,6.0,4.0,1.0,1037.0,495.0,542.0,363.0,318.0,45.0,380.0,7.0,373.0,12.0,11.0,1.0,282.0,159.0,123.0,363.0,318.0,45.0,161.0,134.0,27.0,61.0,47.0,14.0,141.0,137.0,4.0,33.71,27.66,40.48,1.19,0.0,2.63,62.77,54.17,71.74,56.99,70.91,44.28,68.67,86.11,52.86,23.34,33.74,13.84,27.37,39.9,16.02,37.7,44.19,31.81,34.69,49.49,21.28,,,,,,,,270.0,100.0,7.41,8.52,84.07,0.0,100.0,95.93,0.74,0.0,1.11,2.22,270.0,100.0,0.0,99.63,0.0,0.37,0.0,0.0,0.0,0.0,270.0,100.0,44.07,43.33,10.0,2.22,0.37,0.0,270.0,100.0,1.48,45.56,48.15,0.0,0.0,0.37,0.0,4.07,0.0,0.37,100.0,270.0,10.0,34.0,63.0,66.0,43.0,28.0,17.0,1.0,3.0,3.0,2.0,4.18,,,Bara Narayanpur,30260014001090870281,,,,,,,,,,,,,,,,,,,,,,,1
